iter	Passed	Remaining
0	0	86
1	1	76
2	2	71
3	2	66
4	3	64
5	3	62
6	4	61
7	5	62
8	6	61
9	6	62
10	7	61
11	8	61
12	9	60
13	9	60
14	10	59
15	11	58
16	11	57
17	12	56
18	12	55
19	13	54
20	14	53
21	14	52
22	15	51
23	16	51
24	16	50
25	17	50
26	18	49
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
